date,CHEMBL2447938,CHEMBL1098659,CHEMBL389621,CHEMBL1437,CHEMBL1434513,CHEMBL1486,CHEMBL1088977,CHEMBL1259059,CHEMBL592868,CHEMBL1234613,CHEMBL3,CHEMBL547,CHEMBL45,CHEMBL47,CHEMBL925,CHEMBL50,CHEMBL426,CHEMBL34259,CHEMBL2146126,CHEMBL318153,CHEMBL386630,CHEMBL1201101,CHEMBL333950,CHEMBL483,CHEMBL3989702,CHEMBL468,CHEMBL902,CHEMBL2105897,CHEMBL221959,CHEMBL1487,CHEMBL413,CHEMBL2103811,CHEMBL38,CHEMBL34833,CHEMBL885,CHEMBL1230191,CHEMBL1017,CHEMBL2095208,CHEMBL526,CHEMBL790,CHEMBL1485,CHEMBL190461,CHEMBL660,CHEMBL657,CHEMBL39,CHEMBL1543,CHEMBL606111,CHEMBL135,CHEMBL863,CHEMBL54943,CHEMBL3182320,CHEMBL1162144,CHEMBL941,CHEMBL1370,CHEMBL406291,CHEMBL1622,CHEMBL2146125,CHEMBL1431,CHEMBL521,CHEMBL427526,CHEMBL1741,CHEMBL231779,CHEMBL1200559,CHEMBL113150,CHEMBL409,CHEMBL1082407,CHEMBL103,CHEMBL1293,CHEMBL131,CHEMBL567597,CHEMBL19019,CHEMBL1393,CHEMBL655,CHEMBL1200420,CHEMBL79,CHEMBL90,CHEMBL302239,CHEMBL3707348,CHEMBL1161632,CHEMBL4297349,CHEMBL1628,CHEMBL4297088,CHEMBL275330,CHEMBL1525826,CHEMBL542581,CHEMBL1353,CHEMBL932,CHEMBL17157,CHEMBL253376,CHEMBL814,CHEMBL1064,CHEMBL667,CHEMBL1184,CHEMBL778,CHEMBL2106041,CHEMBL1225,CHEMBL1201013,CHEMBL222813,CHEMBL1673195,CHEMBL1140,CHEMBL1620,CHEMBL2028850,CHEMBL1139,CHEMBL1545,CHEMBL8085,CHEMBL877,CHEMBL67166,CHEMBL2040682,CHEMBL1069,CHEMBL161,CHEMBL1200995,CHEMBL3183968,CHEMBL1201187,CHEMBL2374220,CHEMBL1083993,CHEMBL633,CHEMBL1163,CHEMBL2023898,CHEMBL3544909,CHEMBL250450,CHEMBL477,CHEMBL2107011,CHEMBL787,CHEMBL438497,CHEMBL1223,CHEMBL1947204
01/12/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2020,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
01/04/2020,4,2,2,3,3,3,3,1,3,0,0,3,1,0,2,0,1,1,1,2,1,1,0,2,2,3,1,1,1,1,2,1,2,0,2,2,4,1,3,0,0,0,0,2,0,0,0,2,1,1,0,0,3,3,1,1,0,0,2,2,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,1,1,2,1,0,0,1,0,2,1,3,1,1,3,1,0,1,0,0,0,1,1,0,3,2,2,0,0,2,1,1,1,0,1,3,3,1,0,1,0,0,0,0,0,1,3
01/05/2020,2,2,0,3,3,1,1,0,2,1,2,3,2,1,3,2,0,0,2,4,2,2,1,1,1,4,1,0,2,2,1,1,2,1,1,3,0,3,0,0,1,0,3,2,0,1,1,0,2,2,1,1,1,0,2,0,0,0,3,3,1,0,1,1,1,0,1,3,0,2,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,4,0,2,0,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1
01/06/2020,1,1,0,3,3,0,0,1,0,0,1,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0
01/07/2020,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,2,3,1,0,1,0,1,1,2,0,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,2,0,0,0,0
01/08/2020,0,1,1,0,0,1,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
01/09/2020,0,0,0,0,0,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
01/10/2020,0,0,1,0,0,1,1,0,0,1,3,1,0,1,1,1,1,1,1,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
01/11/2020,0,1,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,2,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/12/2020,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2021,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,2,2,0,1,0,0,0,0,0,1,3,1,0,1,0,0,2,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0
01/02/2021,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
01/03/2021,1,0,0,0,0,1,0,0,2,3,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
01/04/2021,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
01/05/2021,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2021,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/08/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
