1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,
14028,14029,14030,14031,5,72,5,14032,4489,14033,14034,2134,190,191,14035,14036,14037,14038,14039,14040,14041,5,5,14042,14043,14044,14045,14046,5,14047,14048,5,5,14049,5,5,14028,14050,5,5,5,14028,14028,14028,5,14051,5,5,5,14052,5,14053,14028,5,14054,5,5,14055,14056,5,5,5,14057,14058,5,5,5,14059,14060,14061,14062,14042,14028,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14063,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14064,5,5,14028,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14065,14066,14067,14068,5,216,5,14069,11596,14070,14071,1884,1517,1518,14072,5,14073,14074,14075,5,14076,14077,13100,5,14078,14079,5,5,5,14080,5,5,5,14081,5,5,14065,5,5,5,5,14065,5,14065,5,14082,14083,14084,5,14085,14086,14087,14065,5,14088,14089,14065,5,5,5,5,5,5,5,5,5,5,14090,14091,5,5,5,14065,14092,5,14093,14094,14095,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14096,5,5,5,5,5,14097,5,5,5,5,5,14065,5,5,5,5,5,5,5,5,5,5,5,14098,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14099,5,5,5,5,5,14100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14101,14102,14103,14104,5,72,5,14105,14106,14107,14108,13343,14109,2090,14110,14111,14112,14113,14114,5,14115,5,9627,5,5,14116,3468,14117,5,14118,5,5,5,14119,14120,5,14101,5,5,5,5,14101,5,5,14121,14122,5,5,5,5,5,5,14123,14124,5,5,5,14125,14126,5,14127,14128,3479,5,14129,3892,5,5,5,5,5,5,5,5,5,5,5,14130,14131,5,5,5,14132,5,5,14133,14134,5,5,5,5,14135,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14136,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14137,5,14138,5,5,5,5,5,5,5,5,5,5,14139,5,5,5,5,5,5,5,14140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14141,14142,4636,14143,5,72,5,14144,14145,14146,14147,270,4643,4644,14148,5,14149,14150,14151,14152,14153,5,5,14154,5,14155,14156,14157,5,14118,5,5,5,5,5,14158,14141,5,5,5,5,5,5,5,5,14159,5,5,5,14160,5,5,5,14161,14162,5,5,5,5,5,5,5,14163,5,5,5,5,5,5,5,14164,5,5,5,5,5,5,5,5,5,5,5,14132,5,5,14133,5,5,5,5,5,14165,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14166,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14167,14168,5,14169,5,137,5,14170,14171,14172,14173,14174,14175,890,14176,5,14177,5,5,5,14178,5,11598,5,5,14179,2265,14180,14181,9571,5,5,5,14182,5,14183,14167,14184,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2275,14126,14185,14186,14187,9576,14188,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14189,5,5,14190,5,5,5,5,5,14191,5,5,5,5,5,5,5,5,5,5,5,5,5,14192,14193,14194,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14195,5,5,5,5,5,5,5,5,5,5,5,5,5,14196,5,5,5,5,5,5,14197,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14167,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14198,14199,5,14200,5,72,5,14201,14106,14202,14203,14204,14205,2090,14206,5,14207,5,5,5,14208,5,14209,5,5,14116,3468,14117,5,14118,5,5,5,14210,5,5,14198,14211,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14125,14126,5,14127,14128,3479,5,5,3892,5,5,5,5,5,5,5,5,14212,5,5,5,14213,5,5,5,14132,5,5,14133,14134,5,5,5,5,14214,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14136,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14137,5,14215,5,5,5,5,5,5,5,5,5,5,14216,5,5,5,5,5,5,5,14140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14217,14218,14219,14220,5,137,5,14221,760,14222,14223,14224,14225,1023,14226,5,5,5,5,5,14227,5,5,5,14228,5,5,5,5,14118,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14132,5,5,14133,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14229,5,5,5,5,5,5,5,5,5,5,772,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14230,14231,14232,14233,5,72,5,14234,14235,14236,14237,14238,14239,14240,14241,5,14242,14243,14244,14245,14246,5,5,14247,14248,14249,14250,14251,5,5077,5,5,5,14252,5,5,5,5,5,5,5,5,5,5,5,14253,5,5,5,14254,5,14255,5,5,5,5,5,7831,5,14256,5,5,5,14257,5,3892,5,5,5,5,14258,5,5,5,5,5,5,5,5,5,14259,5,10180,5,5,5,14260,5,5,14261,5,14262,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14263,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14264,14265,3817,14266,5,216,5,14267,1358,14268,14269,699,1517,1518,14270,5,14271,14272,14273,5,14274,5,5,5,5,14275,14276,14277,5,5,5,5,5,14278,5,5,14264,14279,5,5,5,5,14264,14264,5,14280,14281,14282,5,14283,5,14284,14264,5,14285,14286,14264,5,14287,5,5,14288,5,14289,5,5,5,14290,14291,5,5,5,14264,14292,14293,5,14294,14295,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14296,5,5,5,5,5,5,5,5,5,5,5,14264,5,5,5,14264,5,5,5,14297,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14298,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14299,14300,14301,14302,5,216,5,14303,4188,14304,14305,3495,3333,3334,14306,14307,14308,14309,14310,5,14311,14312,5,5,14313,14314,14315,14316,5,14317,5,5,5,14318,5,5,14299,14319,5,5,5,5,5,5,5,14320,5,14321,5,14322,5,14323,5,5,5,14324,5,5,5,5,5,14325,5,14326,5,5,5,14327,14328,5,5,5,5,5,5,5,14329,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14330,5,5,5,5,5,5,5,5,5,5,5,5,14331,5,5,5,5,14332,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
